age,men_survived_to_age,men_died_at_age,women_survived_to_age,women_died_at_age
0,100000,297,100000,263
1,99703,21,99737,27
2,99682,35,99710,12
3,99647,16,99698,16
4,99631,13,99682,7
5,99618,14,99675,17
6,99604,16,99658,11
7,99588,11,99647,6
8,99577,20,99641,10
9,99557,23,99631,18
10,99534,12,99613,13
11,99522,17,99600,9
12,99505,4,99591,23
13,99501,13,99568,14
14,99488,26,99554,16
15,99462,26,99538,21
16,99436,36,99517,27
17,99400,36,99490,13
18,99364,69,99477,20
19,99295,76,99457,23
20,99219,65,99434,30
21,99154,64,99404,30
22,99090,86,99374,30
23,99004,81,99344,35
24,98923,99,99309,29
25,98824,91,99280,29
26,98733,110,99251,30
27,98623,117,99221,39
28,98506,125,99182,56
29,98381,157,99126,54
30,98224,173,99072,50
31,98051,175,99022,56
32,97876,200,98966,54
33,97676,207,98912,54
34,97469,240,98858,86
35,97229,275,98772,95
36,96954,327,98677,100
37,96627,331,98577,121
38,96296,323,98456,119
39,95973,394,98337,141
40,95579,438,98196,152
41,95141,478,98044,156
42,94663,510,97888,172
43,94153,553,97716,197
44,93600,531,97519,181
45,93069,670,97338,208
46,92399,716,97130,253
47,91683,734,96877,242
48,90949,721,96635,265
49,90228,856,96370,291
50,89372,875,96079,288
51,88497,999,95791,353
52,87498,981,95438,319
53,86517,1080,95119,367
54,85437,1117,94752,369
55,84320,1273,94383,427
56,83047,1337,93956,470
57,81710,1474,93486,501
58,80236,1613,92985,575
59,78623,1763,92410,598
60,76860,1887,91812,691
61,74973,2138,91121,751
62,72835,2146,90370,845
63,70689,2417,89525,902
64,68272,2277,88623,900
65,65995,2386,87723,1075
66,63609,2485,86648,1049
67,61124,2391,85599,1141
68,58733,2929,84458,1427
69,55804,2416,83031,1486
70,53388,3285,81545,1916
71,50103,2778,79629,1904
72,47325,2652,77725,1857
73,44673,3172,75868,2318
74,41501,2487,73550,1891
75,39014,2549,71659,2130
76,36465,2762,69529,2541
77,33703,2649,66988,2622
78,31054,2881,64366,2928
79,28173,2518,61438,3363
80,25655,2721,58075,3394
81,22934,2863,54681,4197
82,20071,2661,50484,4374
83,17410,2309,46110,4067
84,15101,2032,42043,3972
85,13069,2168,38071,4572
86,10901,1637,33499,3699
87,9264,1681,29800,4429
88,7583,1398,25371,3789
89,6185,1420,21582,3928
90,4765,1052,17654,3376
91,3713,838,14278,2834
92,2875,632,11444,2578
93,2243,563,8866,2249
94,1680,451,6617,1772
95,1229,378,4845,1506
96,851,177,3339,869
97,674,218,2470,806
98,456,155,1664,443
99,301,109,1221,327
100,192,40,894,175
101,152,152,719,719
